time (s),freq(clip(vtime("tran" "/OUT" nil ) 50n 100n ) "rising" ?xName "time" ?mode "user" ?threshold -0.06) (Hz)
71.57E-9,15.87E9
71.64E-9,15.86E9
71.70E-9,15.87E9
71.76E-9,15.86E9
71.83E-9,15.86E9
71.89E-9,15.86E9
71.95E-9,15.86E9
72.01E-9,15.86E9
72.08E-9,15.86E9
72.14E-9,15.86E9
72.20E-9,15.87E9
72.27E-9,15.87E9
72.33E-9,15.87E9
72.39E-9,15.87E9
72.46E-9,15.87E9
72.52E-9,15.87E9
72.58E-9,15.88E9
72.64E-9,15.87E9
72.71E-9,15.87E9
72.77E-9,15.87E9
72.83E-9,15.87E9
72.90E-9,15.87E9
72.96E-9,15.87E9
73.02E-9,15.88E9
73.09E-9,15.88E9
73.15E-9,15.88E9
73.21E-9,15.88E9
73.27E-9,15.88E9
73.34E-9,15.87E9
73.40E-9,15.88E9
73.46E-9,15.89E9
73.53E-9,15.88E9
73.59E-9,15.87E9
73.65E-9,15.87E9
73.72E-9,15.88E9
73.78E-9,15.88E9
73.84E-9,15.88E9
73.90E-9,15.88E9
73.97E-9,15.87E9
74.03E-9,15.87E9
74.09E-9,15.88E9
74.16E-9,15.89E9
74.22E-9,15.88E9
74.28E-9,15.88E9
74.35E-9,15.88E9
74.41E-9,15.88E9
74.47E-9,15.88E9
74.53E-9,15.88E9
74.60E-9,15.88E9
74.66E-9,15.88E9
74.72E-9,15.89E9
74.79E-9,15.88E9
74.85E-9,15.87E9
74.91E-9,15.88E9
74.97E-9,15.87E9
75.04E-9,15.87E9
75.10E-9,15.87E9
75.16E-9,15.86E9
75.23E-9,15.86E9
75.29E-9,15.87E9
75.35E-9,15.86E9
75.42E-9,15.86E9
75.48E-9,15.87E9
75.54E-9,15.87E9
75.61E-9,15.87E9
75.67E-9,15.86E9
75.73E-9,15.87E9
75.79E-9,15.87E9
75.86E-9,15.87E9
75.92E-9,15.87E9
75.98E-9,15.87E9
76.05E-9,15.87E9
76.11E-9,15.87E9
76.17E-9,15.87E9
76.24E-9,15.88E9
76.30E-9,15.88E9
76.36E-9,15.87E9
76.42E-9,15.88E9
76.49E-9,15.88E9
76.55E-9,15.88E9
76.61E-9,15.87E9
76.68E-9,15.88E9
76.74E-9,15.88E9
76.80E-9,15.88E9
76.87E-9,15.87E9
76.93E-9,15.87E9
76.99E-9,15.88E9
77.05E-9,15.88E9
77.12E-9,15.88E9
77.18E-9,15.87E9
77.24E-9,15.88E9
77.31E-9,15.88E9
77.37E-9,15.88E9
77.43E-9,15.87E9
77.50E-9,15.87E9
77.56E-9,15.88E9
77.62E-9,15.87E9
77.68E-9,15.88E9
77.75E-9,15.87E9
77.81E-9,15.87E9
77.87E-9,15.87E9
77.94E-9,15.87E9
78.00E-9,15.88E9
78.06E-9,15.88E9
78.13E-9,15.87E9
78.19E-9,15.86E9
78.25E-9,15.87E9
78.31E-9,15.87E9
78.38E-9,15.87E9
78.44E-9,15.87E9
78.50E-9,15.86E9
78.57E-9,15.87E9
78.63E-9,15.87E9
78.69E-9,15.86E9
78.76E-9,15.86E9
78.82E-9,15.87E9
78.88E-9,15.87E9
78.94E-9,15.87E9
79.01E-9,15.87E9
79.07E-9,15.86E9
79.13E-9,15.87E9
79.20E-9,15.87E9
79.26E-9,15.87E9
79.32E-9,15.86E9
79.39E-9,15.87E9
79.45E-9,15.86E9
79.51E-9,15.87E9
79.57E-9,15.87E9
79.64E-9,15.86E9
79.70E-9,15.86E9
79.76E-9,15.86E9
79.83E-9,15.86E9
79.89E-9,15.86E9
79.95E-9,15.86E9
80.02E-9,15.86E9
80.08E-9,15.87E9
80.14E-9,15.87E9
80.20E-9,15.87E9
80.27E-9,15.88E9
80.33E-9,15.88E9
80.39E-9,15.87E9
